Name,Affiliation,Google Scholar Profile ,ORCID Profile ,Research Gate Profile,Resarch Interests/Focus,Tags,Collaborators,Notes
Farya Phillips,University of Texas at Austin,https://scholar.google.com/citations?hl=en&user=D3j0mswAAAAJ,https://orcid.org/0000-0002-9210-0177,https://www.researchgate.net/profile/Farya-Phillips,Adolescents and young adult cancer survivors; parental cancer; children and healthcare; psychosocial oncology; grief and loss; palliative and end of life care; Inter-professional education for healthcare providers,,,
Diane McDaniel Rhodes,University of Texas at Austin,n/a,n/a,https://www.researchgate.net/profile/Diane-Rhodes,"Family violence, partner violence, violence against women, social inequity, popular culture",,,
Ruth G. McRoy,University of Texas at Austin,n/a,n/a,https://www.researchgate.net/profile/Ruth-Mcroy,"Open adoptions, outcomes for birthmothers, adoptive parents and adopted children, trans-racial adoptions, family preservation, special needs adoptions, post-adoption services, female sexual abuse perpetrators, racial identity, adolescent pregnancy, effectiveness of residential treatment services.",,,
Lailea Noel,University of Texas at Austin,https://scholar.google.com/citations?hl=en&user=kIqlfrwAAAAJ,n/a,n/a,Health social work; cancer disparities; patient-provider communication; health care decision making; community-based participatory research; vulnerable populations,,,
Yolanda C. Padilla,University of Texas at Austin,https://scholar.google.com/citations?hl=en&user=HoCs89kAAAAJ,n/a,https://www.researchgate.net/profile/Yolanda-Padilla-3,"Population studies focusing on racial and ethnic disparities in health and well-being with an emphasis on Mexican American children and families, poverty, immigration, and applications to social welfare policy development. Areas of practice specialization: policy analysis and community practice",,,
Ruben Parra-Cardona,University of Texas at Austin,n/a,https://orcid.org/0000-0003-0250-1012,https://www.researchgate.net/profile/Jose-Parra-Cardona,"Latinx families, parenting",,,
Michele A. Rountree,University of Texas at Austin,n/a,n/a,https://www.researchgate.net/profile/Michele-Rountree,"Health disparities, intimate partner violence and heightened risk for HIV/AIDS, evidence-based HIV/AIDS interventions, prevention strategies tailored to women and communities of color",,,
Carmen R. Valdez,University of Texas at Austin,https://scholar.google.com/citations?hl=en&user=KI51BFIAAAAJ,https://orcid.org/0000-0002-7608-4146,https://www.researchgate.net/profile/Carmen-Valdez-3,"Community-based participatory research, family interventions, immigrant health, mental health",,,
Shetal Vohra-Gupta,University of Texas at Austin,n/a,https://orcid.org/0000-0001-8515-0603,n/a,"Health disparities, social determinants of health, interpersonal violence, health policy, racial equity, critical race theory",,,
Ahmed Whitt,University of Texas at Austin,n/a,n/a,n/a,Neighborhood contextual factors on adolescent mental health and behavioral outcomes,,,
Ijeoma Opara,Yale University,https://scholar.google.com/citations?hl=en&user=PR801ugAAAAJ,https://orcid.org/0000-0002-1118-4699,https://www.researchgate.net/profile/Ijeoma-Opara-2,"HIV/AIDS, STI, and substance use prevention for urban youth, racial and gender specific prevention interventions for Black girls, and community-based participatory research with urban youth",,Christiana I Awosan,
Yodit Betru,University of Pittsburgh,n/a,https://orcid.org/0000-0002-4541-822X,n/a,"Trauma, child welfare, and families",,,
Valire Copeland,University of Pittsburgh,n/a,n/a,https://www.researchgate.net/profile/Valire-Copeland,"African American women, health and mental health disparities, social determinants of health, integrated behavioral health care, social work pratice in healthcare settings",,,
James Huguley,University of Pittsburgh,https://scholar.google.com/citations?hl=en&user=SXpAY2gAAAAJ,https://orcid.org/0000-0003-4659-939X,n/a,"School based interventions on students of color, parenting, race and social problems",,,
Victor Figuereo,University of Pittsburgh,n/a,https://orcid.org/0000-0003-2091-3723,n/a,"Mental health among LatinX, racialization, intersections of race and ethnicity, health disparities",,,
John Wallace,University of Pittsburgh,n/a,n/a,https://www.researchgate.net/profile/John-Wallace-Jr,"Community based participatory research, adolescent problem behaviors, comprehensive community initiatives, role of faith-based organizations in community revitalization, social entrepreneurship",,,
June Ying Yee,Ryerson University ,n/a,na,n/a,"Race and racism, Anti-racism and anti-colonialism, Whiteness and white supremacy, Organizational change and evaluation models, Structural intersectionality and multiple positionalities, Immigrant and settlement services",,,"Actively publishing, just no profiles; Ryerson changed its name to Toronto Metropolitan University "
Lynn Lavallee,Ryerson University ,https://scholar.google.com/citations?hl=en&user=2gA85hQAAAAJ,n/a,n/a,"Indigenous resurgence; Research ethics, including Indigenous ethics; Indigenous health and well being; Indigenous research methodologies",,,Ryerson changed its name to Toronto Metropolitan University 
Funke Oba,Ryerson University ,https://scholar.google.com/citations?hl=en&user=Gs-M2XEAAAAJ,https://orcid.org/0000-0002-1649-9243,https://www.researchgate.net/profile/Funke-Oba-2,"Anti-Black Racism, Afrocentric Theory, Decolonizing Praxis; Asset based Youth Engagement; Immigration, Immigrants and Refugees; Child Welfare; Domestic Violence; Scholarship of Teaching and Learning in Helping Professions; North-South Collaborations/Social Work in Africa",,,Ryerson changed its name to Toronto Metropolitan University 
Suzie S. Weng,"California State University, Long Beach",n/a,n/a,n/a,"Culturally Appropriate Services, Ethnic Specific Services, Informal Support, Community Development, Discrimination and Oppression, Stigma",,,"Actively publishing, just no profiles "
Robynn J.A. Cox,University of Southern California ,https://scholar.google.com/citations?hl=en&user=OAiAZ5kAAAAJ,https://orcid.org/0000-0003-3687-786X,https://www.researchgate.net/profile/Robynn-Cox-2,"Mass Incarceration, Social Inequality, Social Work Education, Race and Class Inequalities",,,
Annalisa Enrile,University of Southern California ,n/a,https://orcid.org/0000-0003-1788-2946,https://www.researchgate.net/profile/Annalisa_Enrile,"Human Rights, Anti-militarization, Immigration Policy, Sex Trafficking, Migrant labor",,,
Karen Lincoln,University of Southern California ,https://scholar.google.com/citations?hl=en&user=YbH_BzwAAAAJ,https://orcid.org/0000-0003-1891-2035,https://www.researchgate.net/profile/Karen-Lincoln-2,"stress, aging, and mental health disparities",,,
Shanea Thomas,University of Southern California ,https://scholar.google.com/citations?hl=en&user=PaZk_ZkAAAAJ,n/a,https://www.researchgate.net/profile/Shanea-Thomas,"gender and sexuality issues, race and class dynamics, mental health, bereavement and strategic planning",,,
Philip Baiden,University of Texas at Arlington,https://scholar.google.com/citations?hl=en&user=1Qy2XtkAAAAJ,https://orcid.org/0000-0003-3877-2594,https://www.researchgate.net/profile/Philip-Baiden,Suicide Prevention Research; Adverse Childhood Experiences (ACEs); Adolescent Substance Use Behaviors; Social Determinants of Health and Mental Health; Barriers to Health Service Utilization; International Social Work Research,,,
Saltanat Childress,University of Texas at Arlington,https://scholar.google.com/citations?hl=en&user=66FELN0AAAAJ,https://orcid.org/0000-0002-2864-2780,https://www.researchgate.net/profile/Saltanat-Childress-2,"Family wellbeing, child wellbeing, parenting, prevention of family violence in global settings; economic empowerment; immigrant and refugee populations",,,
Zhen Cong,University of Texas at Arlington,https://scholar.google.com/citations?hl=en&user=P3VtDbAAAAAJ,https://orcid.org/0000-0002-1949-056X,https://www.researchgate.net/profile/Zhen-Cong,"Aging, intergenerational relationships, disasters, China, health disparity, mental health, living arrangement, caregiving, social support, vulnerability, resilience, interdisciplinary research",,,
Jandel Crutchfield,University of Texas at Arlington,https://scholar.google.com/citations?user=Y_dUIY4AAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0003-3319-2726,https://www.researchgate.net/profile/Jandel-Crutchfield,"School social work in traditional and charter schools, cultural competence of school social workers, colorism and social work practice",,,
Danielle R. Eugene,University of Texas at Arlington,https://scholar.google.com/citations?hl=en&user=D4jcX80AAAAJ,https://orcid.org/0000-0001-8686-0615,https://www.researchgate.net/profile/Danielle-Eugene,"Social ecology of disadvantaged ethnic minority youth; positive youth/emerging adulthood development; racial disparities and equity in education (K-12); school climate, school connectedness, and student outcomes; school social work practice",,,
Vijayan Pillai,University of Texas at Arlington,https://scholar.google.com/citations?hl=en&user=FsjuTqsAAAAJ,n/a,https://www.researchgate.net/profile/Vijayan-Pillai,"Adolescent social problems , Reproductive health , National and International social policy, Population, Community Planning, Demographic Techniques, Zambia, Social Policy, Reproductive rights, Development",,,
Eusebius Small,University of Texas at Arlington,https://scholar.google.com/citations?hl=en&user=scuSSJcAAAAJ,https://orcid.org/0000-0001-9027-3632,https://www.researchgate.net/profile/Eusebius-Small,"International Social Work, The Intersection of HIV and Contextual Social Norms, Adolescent Risk Behaviors, Comparative Social Policy",,,
Debra J. Woody,University of Texas at Arlington,n/a,n/a,n/a,"Substance Abuse, School Based Social Work Services",,,
Ling Xu,University of Texas at Arlington,https://scholar.google.com/citations?hl=en&user=x4g3MEcAAAAJ,https://orcid.org/0000-0003-0798-2126,https://www.researchgate.net/profile/Ling-Xu-6,"Aging, grandparents, ethnicity (Chinese), assistive technology, Intergenerational Support and Healthy Aging, Health Disparity, Health Care Utilization, Acculturative Stress, Social support and Well-being of Older Adults, Asian American Older Adults",,,
Kelli Rogers,University of Texas at Arlington,n/a,n/a,https://www.researchgate.net/profile/Kelli-Rogers-5,"advancing racial equity in public and higher education; social work practice in schools; intersection among child welfare, juvenile justice, and education; disproportionality and disparities in child welfare and juvenile justice systems; social policy for children and families; culturally responsive practice; and community-based social work",,,
Sana Malik,Stony Brook University,https://scholar.google.com/citations?hl=en&user=isTzOiQAAAAJ,https://orcid.org/0000-0003-0160-7798,https://www.researchgate.net/scientific-contributions/Sana-Malik-2165259914,"Social determinants of health, international public health, health systems strengthening, health disparities among minority, immigrant, and refugee populations, health education & behavior, culturally and religiously tailored programming, maternal & child health and welfare, program design & evaluation.",,,
Christiana I Awosan,Iona College,https://scholar.google.com/citations?hl=en&user=hZoG3CYAAAAJ,https://orcid.org/0000-0003-3930-5058,https://www.researchgate.net/profile/Christiana-Awosan,"diversity, inclusion, and social justice ",,Ijeoma Opara,
Juan Rios,Seton Hall University,https://scholar.google.com/citations?hl=en&user=3gkjgoIAAAAJ,https://orcid.org/0000-0003-2801-8221,https://www.researchgate.net/profile/Juan-Rios-34,"Clinical phenomenological field narratives and self-reflexivity, Chinese philosophy on modern philanthropy, mindfulness intervention with immigrant and first generation children, and cultural intersection among men and masculinity. He recently published several articles on mindfulness, emotion and behavior in Latin and Chinese students.",,"Shuang Lu (Univ. Hong Kong);  Chien-Chung Huang, Shannon P. Cheung and Yafan Chen (Rutgers)",
Cathy Scott,University of Tennessee Chattanooga,n/a,https://orcid.org/0000-0003-2671-2519,https://www.researchgate.net/profile/Cathy-Scott,"Aging, alzheimer's disease, caregiver burden, grandparents raising grandchildren ",,,
Junrong Shi,University of Tennessee Chattanooga,https://scholar.google.com/citations?user=16f966QAAAAJ&hl=en&inst=9897619243961157265&oi=ao,n/a,https://www.researchgate.net/profile/Junrong-Shi-3,"aging, health disparity, caregiver support, older asian immigrants",,,
Soleman Abu-Bader,Howard University ,https://scholar.google.com/citations?hl=en&user=Gqxn2lMAAAAJ&inst=9897619243961157265,https://orcid.org/0000-0001-7818-1313,n/a,"Mental health, well-being, immigrants, Arab & Muslim Americans",,,
Robert L. Cosby ,Howard University ,https://scholar.google.com/citations?hl=en&user=JmaC9oUAAAAJ&inst=9897619243961157265,n/a,n/a,"social isolation and older persons, racism, HIV-AIDs, Spirtuality and health care disparities and inequalities",,,
JaNeen Cross,Howard University ,https://scholar.google.com/citations?hl=en&user=YYK4VvAAAAAJ&inst=9897619243961157265,https://orcid.org/0000-0002-1219-4872,https://www.researchgate.net/profile/Janeen-Cross,"maternal and child health disparities, mental health, and health policy ",,,
Janice Berry Edwards,Howard University ,n/a,https://orcid.org/0000-0002-1201-1386,n/a,"clinical social work practice, social work education ",,,
Ruby M. Gourdine,Howard University ,n/a,https://orcid.org/0000-0002-2404-9808,https://www.researchgate.net/profile/Ruby-Gourdine,"child welfare, teenage pregnancy, transracial adoption, females and violence, school social work, and disability content in social work curricula",,,
Aisha Bonner,Howard University ,n/a,n/a,https://www.researchgate.net/profile/Aisha-Bonner,"health care disparities for older minority adults, poverty, an aging population’s impact on public policy, and technology utilization with aging populations",,,
Stephen Broyles,Howard University ,n/a,n/a,https://www.researchgate.net/profile/Stephen-Broyles,"health disparities in minority populations, HIV/AIDS, infectious disease, substance abuse and mental health",,,
Gloria Cain,Howard University ,n/a,https://orcid.org/0000-0002-0124-9946,https://www.researchgate.net/profile/Gloria-Cain,"ethnic factors of alcohol and substance misuse among African Americans, efficiency of screening and brief intervention in community and health care settings",,,
Cynthia Harris,Howard University ,n/a,n/a,https://www.researchgate.net/profile/Cynthia-Harris-4,"field education, prenatal care, grief, foster youth, disability ",,,
Altaf Husain,Howard University ,https://scholar.google.com/citations?hl=en&user=WrzB--8AAAAJ,https://orcid.org/0000-0002-9219-6404,https://www.researchgate.net/profile/Altaf-Husain,"homelessness and natural and human-caused disasters, as well as with immigrants and refugees",,,
Meirong Liu,Howard University ,https://scholar.google.com/citations?hl=en&user=PLnc5CoAAAAJ,https://orcid.org/0000-0001-6852-8889,https://www.researchgate.net/profile/Meirong-Liu,"policy, development studies, poverty analysis, early childhood education",,,
Kendall Moody,Howard University ,https://scholar.google.com/citations?hl=en&user=YwF3-zUAAAAJ,https://orcid.org/0000-0002-4833-3037,https://www.researchgate.net/profile/Kendall-Moody,"medical social work, sickle cell disease, biopsychosocial variables, chronic illness",,,
Cudore Snell,Howard University ,profile not found,https://orcid.org/0000-0003-0742-6613,https://www.researchgate.net/profile/Cudore-Snell-3,"African American parenthood, fetal alcohol spectrum disorder, adolescent substance abuse",,,
Rona Carter,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?hl=en&user=DOBs-SIAAAAJ,https://orcid.org/0000-0002-1967-2144,https://www.researchgate.net/profile/Rona-Carter,"Racial and cultural contextual factors that influence pubertal processes
Social-cultural contextual factors and wider social systems that promote or hinder adjustment
Measurement development and evaluation as it relates to race, ethnicity, and gender. She draws upon both secondary data analysis and original data collection. Her research has importance for understanding the relational and social contexts of girls’ development and health outcomes such as how girls negotiate aspects of their interpersonal relationships (family, peers, teachers, and romantic partners) when making their sexual decisions. Guiding her research are the central tenets of social development theory which emphasize that individual development occurs within a social and cultural context, which itself develops, and furthermore, perpetually interacts with the developing individual.",,,
Edward C. Chang,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?hl=en&user=Jcy5PMMAAAAJ,n/a,n/a,"predictors of psychological and physical adjustment, including optimism and pessimism, perfectionism, and social problem solving. I am also interested in understanding how cultural and racial factors influence the function of these variables on outcome, and in examining stress and coping and diathesis-stress models of adjustment.",,,
Linda M. Chatters,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?hl=en&user=5YnTDTkAAAAJ,https://orcid.org/0000-0002-4678-2541,https://www.researchgate.net/profile/Linda-Chatters,"Religious involvement and well-being, social support networks of adult/elderly African Americans, intergenerational family relations, families and health.",,,
David Córdova,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?hl=en&user=On85QD0AAAAJ,n/a,https://www.researchgate.net/profile/Linda-Chatters,"Drug abuse, HIV/STI, prevention, community-based participatory research, adolescents, health disparities (latinx)",,,
Fernanda L. Cross,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?hl=en&user=CewfhHYAAAAJ,https://orcid.org/0000-0002-0770-9464,https://www.researchgate.net/profile/Fernanda-Cross,"Latinx mixed-status families, undocumented immigrants, ethnic-racial socialization, discrimination experiences, adolescent mental health and academic outcomes",,,
Ashley E. Cureton,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?user=Ehr5pD0AAAAJ,https://orcid.org/0000-0001-8392-2040,https://www.researchgate.net/profile/Ashley-Cureton-3,"explores the educational and mental health needs and outcomes of refugee and migrant children and youth and their families. She seeks to understand how displacement and exploitation impact their overall academic and social development, sense of belonging and cultural identity.",,,
William Elliott III,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?user=NnqytUcAAAAJ,https://orcid.org/0000-0002-6096-662X,https://www.researchgate.net/profile/William-Elliott-9,"Economic, educational, and racial disparities; social policy; mental health; child development",,,
James M. Ellis,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?hl=en&user=bW9Nl0kAAAAJ,https://orcid.org/0000-0002-9318-5141,https://www.researchgate.net/profile/James-Ellis-30,"K-20 education and career pathways of low income and racial minority students, education pipeline intervensions, racism and discrimination in secondary and postsecondary settings, program evaluation, and underrepresented students’ college preparation, access, and success",,,
Katrina R. Ellis,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?hl=en&user=xIJvyYIAAAAJ,https://orcid.org/0000-0003-1709-3912,https://www.researchgate.net/profile/Katrina-R-Ellis,African American family health interventions; cancer prevention and survivorship; self and family management of multiple chronic conditions; racial and ethnic disparities in health; digital health; community-based participatory research,,,
Larry M. Gant,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?user=bNvFpH4AAAAJ,https://orcid.org/0000-0001-9770-7480,https://www.researchgate.net/profile/Larry-Gant,"Program evaluation, social action, community-based health programs, mezzo practice and social planning; public health social work, international social work, arts-based community development, health disparities emerging from syndemic-structural interactions, e.g. HIV/AIDS, poverty, violence-related PTSD, and impoverished care access.",,,
Giovanna (Odessa Gonzalez) Gonzalez Benson,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?hl=en&user=pYZ6uhcAAAAJ,https://orcid.org/0000-0001-9707-4601,https://www.researchgate.net/profile/Odessa-Benson-2,"refugee resettlement, refugee/migrant-led organizations, participatory approaches to urban governance and social services with refugees, state-civil society relations, critical policy studies",,,
Lorraine M. Gutiérrez,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?user=yvE4PZIAAAAJ,https://orcid.org/0000-0003-2714-7005,https://www.researchgate.net/profile/Lorraine-Gutierrez,"Empowerment-oppressed groups, Latinos, social justice",,,
Jaclynn M. Hawkins,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?hl=en&user=dhYDja4AAAAJ,https://orcid.org/0000-0001-8132-790X,https://www.researchgate.net/profile/Jaclynn-Hawkins,"University of Michigan, Ann Arbor",,,
Lydia W. Li,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?user=Z2nNjfcAAAAJ,https://orcid.org/0000-0002-5601-7325,https://www.researchgate.net/profile/Lydia-Li-3,"social isolation, depression, and suicide in older adults; ageism; cross-cultural gerontology; community-based interventions",,,
Jamie Mitchell,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?user=C7W3XWMAAAAJ&hl=en,n/a,https://www.researchgate.net/profile/Jamie-Mitchell-8,"African American men's health; cancer health disparities, patient-provider communication; psychosocial well-being and family support; social determinants of health",,,
Sunggeun (Ethan) Park,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?hl=en&user=3AZvpzAAAAAJ,https://orcid.org/0000-0001-8942-566X,https://www.researchgate.net/profile/Sunggeun-Park,"Human service organization, Nonprofit Strategy and Management, Client Engagement in Services, Empowerment Practice, Health Care Politics and Policy, Child Welfare Policy and Practices, Health Services and Access and Public-Private Collaboration",,,
Rogério Meireles Pinto,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?hl=en&user=3XLfgw4AAAAJ,n/a,https://www.researchgate.net/profile/Rogerio-Pinto,Implementation Science; HIV prevention; Oppressed Groups; Practitioners; International Research,,,
Trina R. Shanks,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?user=0ryV6yoAAAAJ,https://orcid.org/0000-0002-3644-889X,https://www.researchgate.net/profile/Trina-Shanks,"Child well-being, asset building, 529 college education plans, SEED, Rhodes scholar, economic development",,,
Robert Joseph Taylor,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?user=5yGwTWsAAAAJ,n/a,n/a,Informal social support networks of adult/elderly African Americans,,,
Daphne C. Watkins,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?user=7as_MMIAAAAJ,https://orcid.org/0000-0002-6350-7891,https://www.researchgate.net/profile/Daphne-Watkins,Behavioral interventions; equity; marginalized groups; mixed methods; leadership development; strategy and efficiency; organizational structures,,,
Xiaoling Xiang,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?user=D9F_qcoAAAAJ,https://orcid.org/0000-0002-4926-4707,https://www.researchgate.net/profile/Xiaoling-Xiang-2,"Health services research, integrated care models, late-life mental health care, depression, chronic disease, comorbidity, aging in place, health disparities, implementation research",,,
Mieko Yoshihama,"University of Michigan, Ann Arbor",n/a,n/a,https://www.researchgate.net/scientific-contributions/Mieko-Yoshihama-9658954,"Violence against women, community organizing and participatory action research in immigrant and marginalized communities, theatre-based prevention, mental health.",,,
