Name,Interests
Katrina R. Ellis,African American family health interventions; cancer prevention and survivorship; self and family management of multiple chronic conditions; racial and ethnic disparities in health; digital health; community-based participatory research
Larry M. Gant,"Program evaluation, social action, community-based health programs, mezzo practice and social planning; public health social work, international social work, arts-based community development, health disparities emerging from syndemic-structural interactions, e.g. HIV/AIDS, poverty, violence-related PTSD, and impoverished care access."
Giovanna (Odessa Gonzalez) Gonzalez Benson,"refugee resettlement, refugee/migrant-led organizations, participatory approaches to urban governance and social services with refugees, state-civil society relations, critical policy studies"
Lorraine M. Gutiérrez,"Empowerment-oppressed groups, Latinos, social justice"
Jaclynn M. Hawkins,"University of Michigan, Ann Arbor"
Lydia W. Li,"social isolation, depression, and suicide in older adults; ageism; cross-cultural gerontology; community-based interventions"
Jamie Mitchell,"African American men's health; cancer health disparities, patient-provider communication; psychosocial well-being and family support; social determinants of health"
Sunggeun (Ethan) Park,"Human service organization, Nonprofit Strategy and Management, Client Engagement in Services, Empowerment Practice, Health Care Politics and Policy, Child Welfare Policy and Practices, Health Services and Access and Public-Private Collaboration"
Rogério Meireles Pinto,Implementation Science; HIV prevention; Oppressed Groups; Practitioners; International Research
Trina R. Shanks,"Child well-being, asset building, 529 college education plans, SEED, Rhodes scholar, economic development"
Robert Joseph Taylor,Informal social support networks of adult/elderly African Americans
Daphne C. Watkins,Behavioral interventions; equity; marginalized groups; mixed methods; leadership development; strategy and efficiency; organizational structures
Xiaoling Xiang,"Health services research, integrated care models, late-life mental health care, depression, chronic disease, comorbidity, aging in place, health disparities, implementation research"
Mieko Yoshihama,"Violence against women, community organizing and participatory action research in immigrant and marginalized communities, theatre-based prevention, mental health."
Anao Zhang,Health and mental; Evidence-based practice; Psychosocial oncology; Social determinants of health; Integrated behavioral health; and Quantitative methods
Ashley N. Jackson,"historical and contemporary patterns of police violence, the effects of police contact on psychological well-being, and legal and racial socialization in communities of color."
Ruopeng An,"Applications of artificial intelligence and big data analytics in public health
Environmental and policy influences on dietary behavior, physical activity, and obesity
Social and economic determinants of health"
Sheretta Butler-Barnes,"African American families
Risk and resilience
Racial justice in learning contexts
Gender and education
Religiosity"
Leopoldo J. Cabassa,"Racial/ethnic disparities in health and mental health care
Implementation science
Integration of physical and mental health services
Mental health services"
Renee Cunningham-Williams,"Capacity development in higher education
Health and mental health disparities
Pathological gambling and comorbidity
Risk-taking, substance use (including cigarette and hookah use) and antisocial behaviors"
Shenyang Guo,"Quantitative research methodology
Program and practice evaluations
Child welfare
Child mental health"
Tyriesa Howell,"Sexual health
Reproductive health
mHealth interventions
Racial disparities in health
Social work education"
Darrell Hudson,"Racial/ethnic health inequalities
Social determinants of health
Social mobility
Stress and health
Mental health"
Sean Joe,"Black male social mobility
Black suicidal behavior
Community Organizing Intervention Research
Father-focused family-based interventions
Community Science"
Jack Kirkland,"International and national community economic development
Urban issues
International, state and regional planning
International social development
Multicultural education"
Husain Lateef,"Black adolescents and emerging adults
Young Black male premature mortality prevention
Afrocentric/African-centered social work research
Justice-involved youth & adolescents
Juvenile offender reentry"
Von Nebbitt,"African-American youth
Public housing
Delinquency
High-risk youth behavior"
Jason Purnell,"Health equity
Social determinants of health
Research translation for population health improvement
Health behavior"
Rodrigo Reis,"Physical activity
International health
Urban design and health
Transportation and health
Built Environment and health"
Deborah Salvo,"Spatial epidemiology
Physical activity research and capacity building
Chronic disease prevention
Global health disparities
Latin American populations & US-based minorities"
Fred Ssewamala,"Microfinance
Asset-based social programs
Disadvantaged children
Social and economic development policy
Children and adolescent health"
Vetta Thompson,"Cultural competence
Racial identity
Disparities in health and mental health services
Implications of race and ethnicity
Access to health services"
Proscovia Nabunya,"Asset-based interventions
Children and families affected by HIV/AIDS
Family and community-based social support systems
HIV-related stigma and social isolation"
Luis Parra,"LGBTQ and Latinx mental health
Biological correlates of discrimination and mental health
Heterosexism and Racism
Intersectionality quantitative methods
Interpersonal and intrapersonal coping processes"
Diana Parra Perez,"Food Justice & Nutrition Sovereignty
Mindfulness & Yoga
Latino Wellbeing
Active Living"
Kim Thuy Seelinger,"Sexual and gender-based violence
Refugee protection
Survivors’ support in humanitarian crises
War crimes, crimes against humanity, genocide
Immigrants' rights"
Liwei Zhang,"Child welfare
Child abuse and neglect prevention
Immigrant and racial/ethnic minority families and children
Economic inequality and instability
Neighborhood and community"
Mashura Akilova,"Central Asia, child labor, migrant workers"
Carmela Alcántara,"psychology, public health, social work, and medicine to understand how structural and social factors affect sleep, mental health, and cardiovascular health, particularly in racial/ethnic and immigrant communities"
Mingway Chang,"HIV, STDs, partner violence, suicide ideation, drug use, Central Asia"
Courtney D. Cogburn,"emerging technologies, including computational social science to examine patterns and psychosocial effects of cultural racism and how virtual reality experiences can lead to changes in attitudes, social perception and engagement"
Nabila El-Bassel,"Global health research including gender-based violence, HIV, substance use, and opioid disorders with marginalized communities"
Rob Eschmann,"educational inequality, community violence, racism, social media, and youth wellbeing"
Qin Gao,"Chinese welfare state, poverty and social assistance"
Jalana Harris,"Clinical Assessment, intersectionality, sexual agency, cultural trauma, anti-black racism"
Neeraj Kaushal,Low-income immigrant families and children
Jinyu Liu,Aging and health in Chinese older adults
Ronald B. Mincy,Economically vulnerable fathers
Desmond Upton Patton,Youth and online violence
Elwin Wu,"Social justice as a mechanism to improve health; Addressing intersectionality among sexual/gender diverse and BIPOC (Black, Indigenous, and People of Color) communities"
Adrian Aguilera,Mobile Technology (mHealth) and Mental Health; Machine Learning and Health; Digital health; Latino Mental Health; Health Disparities; Cognitive-Behavioral Therapy for Depression; Primary Care Based Mental Health
Yu-Ling Chang,Poverty and Inequality; Unemployment and Labor Studies; Social Safety Net Programs / Income and Work Supports; Policy Analysis; International Social Welfare
Julian Chun-Chung Chow,"East Asian Studies; Community Practice and Service Delivery in Urban Poverty, Ethnic and Immigrant Neighborhoods; Community Analysis and Needs Assessment; Program Planning and Development; Cultural Responsive Services"
Emmeline Chuang,"Contextual and organizational factors affecting service delivery;  Implementation, sustainment, and spread of complex, service-based innovations;  Inter-organizational relationships;  Families affected by substance use and other behavioral health disorders;  Frontline health and human service workers"
Anu Manchikanti Gómez,Health and Healthcare Disparities; Race/Class/Gender; Sexual and Reproductive Health; Social Determinants of Health
Erin M. Kerrison,Black Love and Liberation; Cultivating Multi-Stakeholder Collaborations; Data Science for Social Good; Designing Structures that Facilitate Carceral Abolition and Safety for All; Legal Epidemiology; Redressing Health and Healthcare Inequity; US Criminal Legal System 
Osagie K. Obasogie,Sociology of Law; Policing; Race in Law and Medicine; Bioethics; Reproductive and Genetic Technologies; Constitutional Law
Kurt Organista,psychosocial problems within the Chicano and Latino communities; acculturation and adjustment of ethnic minorities to American societies; minority mental health; cognitive behavioral therapy; depression in Latinos and HIV prevention with Mexican migrant laborers/Latinos
Tina Sacks,Health and Healthcare Disparities; Race/Class/Gender; Racial Disparities in Health; Social Determinants of Health; Poverty and Inequality
Angela S. García,"international migration, law and society, race and ethnicity, urban sociology, social policy, and mixed and comparative methods"
Zhiying Ma,"cultural, politico-economic, and technological factors shape the design and implementation of social policies, and how national policies and global development initiatives in turn impact health in/equity, vulnerability, and rights, with a focus on contemporary China"
Janelle R. Goodwill,Suicide and depression; Black American mental health and wellbeing; Measurement and psychometrics; Positive psychological protective factors
Gina E. Miranda Samuels,"Relational processes of identity and well-being among systems-involved young people, the meaning of home and ambiguous loss of home, transitions to adulthood, transracial adoption and multiraciality, relationally just practices in child welfare, anti-oppressive interpretive research methods and methodology"
S Simmons,Gender identities and experiences; LGBT+ Sexuality; Race and racism; Higher Education/Student Development; Identity Development; Inclusion and Equity; Assessment and Evaluation; Pedagogy and Curriculum Development; Mentoring and Leadership
Reuben Jonathan Miller,"intersections of race, poverty, crime control, and social welfare policy"
Yoonsun Choi,"debunking the ""model minority"" myth attached especially to Asian Americans; behavior among multiracial youths"
Aimee Hilado,"impact of immigration trauma, early childhood/adult mental health, and culturally sensitive clinical practice for refugee and immigrant populations"
Miwa Yasui,"cultural influences on developmental and familial processes such as ethnic identity development and ethnic-racial socialization, the examination of the culturally responsive assessments and interventions for ethnically diverse children and youth, intervention and prevention of problem behaviors among youth, and observational methodology"
Marci A. Ybarra,"poverty and inequality, social service delivery, work supports, and family well-being"
Eve L. Ewing,"Race and racism, K-12 public schools, urban education policy, segregation, qualitative research methods, Black feminism, public scholarship, Du Boisian sociology, critical race theory, cultural organizing/community engagement"
Waldo E. Johnson,"the impact of male enhancement services provision to young fathers on their physical and psychological well-being as well as the well-being of adolescent African American and Latina parenting mothers and their children; family formation, self and family sufficiency and stability among low-income urban men;"
Shantá R. Robinson,"role of social identity in marginalized students’ educational experiences, aspirations, and outcomes; empirical investigations of marginalized student achievement and underachievement; inequities in the distribution of educational resources; and the history, culture, and social organization of K-12 educational institutions"
Travis Albritton,Critical Theory and Social Work Practice; Educational Equity and Black Males; Diversity in Higher Education
David Ansong,Educational and Economic Disparities; Child and Youth Well-Being; International Social Development; Community Development; Advanced Statistical Methods and Geographic Information Systems (GIS)
Iris Carlton-LaNey,Social Welfare History; Aging in Rural Communities
Din Chen,Quantitative Intervention Research and Methods; Bayesian Methods for Evidence-based Intervention Research; Multi-level Modelling and Structural Equation Modelling; Systematic Review and Meta-analysis; Child Social Welfare
Gina Chowa,Global Social Development; Economic Security; Workforce Development; Social Protection and Financial Inclusion
Trenette Goings,Health Disparities; Prevention Science; Substance Use Prevention; Adolescents; Emerging Adults
Rachel W. Goode,Behavioral Intervention; Disordered Eating Behaviors; Racial Justice; Social Justice and Confronting Oppression
Michael Lambert,Measurement of Behavior; Treatment of Trauma
Rainier Masa,HIV Prevention and Treatment; Food Security; Stigma; Adolescents and Young Adults; Positive Youth Development
Bonnie Duran,"American Indian and Alaska Native health, mental health, alcohol and substance abuse epidemiology and intervention, American Indian and Alaska Native treatment seeking and barriers to care, Community Based Participatory research methods and measures,  Mindfulness based and other southern epistemic Approaches to wellbeing, and resilience "
Amelia Gavin,"African-American women and depression, Maternal depression during pregnancy, Racial disparities in birth outcomes, Lifecourse approach to health disparities, Racial discrimination across the lifecourse, Post-traumatic Stress Disorder"
Abril N. Harris,"Structural violence and group-based oppression, Anti-racist practice, Socialization and social control, Critical and feminist theories"
David Huh,"Quantitative Methodology for Clinical Trials, Meta-Analysis and Integrative Data Analysis, Health Disparities Research, Behavioral Health Intervention, Chronic Illness (HIV/AIDS, cardiovascular disease, diabetes), Alcohol Use Intervention, Substance Abuse Prevention, Suicide Prevention"
Michelle Johnson-Jennings,"Indigenous Health and Psychology, Epidemiology, Addiction Medicine, Psychological and Behavioral Aspects of Healthcare"
Kristian Jones,"Youth mentoring, Youth development among Black youth, Prevention and early intervention for marginalized youth, Community-based research, Adolescent mental health, Child welfare"
Hyun-Jun Kim,"Aging and health disparities, Intersectionality of sexuality, gender, race and ethnicity, Social isolation and social relations, Support networks, Cognitive impairment and dementia"
Jane J. Lee,"Immigration and Health, Racial and Ethnic Health Disparities, HIV/AIDS Prevention, Development of Evidence-based Interventions, Community-based Research  "
E. Roberto Orellana,"Substance abuse and HIV interventions among health-disparities populations, Trauma-related risk behaviors, Indigenous and Latinx health, Impact of COVID-19 on racial/ethnic minority populations, Social and structural determinants of health among marginalized communities"
Michael S. Spencer,"Native Hawaiian and Pacific Islander health and wellness, Community-based, participatory research, Preservation of indigenous cultural practices"
Emiko A. Tajima,"Domestic violence (DV), Child maltreatment, Childhood exposure to intimate partner violence, Immigrant and refugee populations,  Measurement issues in DV and child maltreatment research, Child welfare"
David Takeuchi,"Ethnic minority mental health, Health disparities, Research design and data analysis"
Edwina S. Uehara,"Impact of high-violence urban environments on mental health, Services to low-income and minority families with chronically mentally ill members, Financing and organization of mental health services, Social networks and social support"
Maya Williams,"Racial identity and social equity, Skin-tone bias (colorism), African American, Afro-Latin, Afro-Caribbean adolescents"
Rocío Calvo,"Immigrant incorporation, happiness, Latinx populations, social services"
Praveen Kumar,Clean energy interventions; energy poverty; environment and development interactions; community development; environmental justice
Robert O. Motley Jr.,"The intersection of racism, violence, and trauma for Black emerging adults ages 18-29 and associated adverse mental and behavioral outcomes"
"Alejandro Olayo-Méndez, S.J.","Migration, Refugees, and Humanitarian Interventions"
Shanta Pandey,"Women’s empowerment, gender equity, maternal and child health, social welfare policy"
Tyrone M. Parchment,Male caregiving/fathers; family behavioral health; child/adolescent behavioral/mental health; global research; evidence-based family interventions; implementing evidence-based family-based interventions; mixed methods research; clinical practice with individuals and groups; research methods; anti-oppressive social work practice
María Piñeros-Leaño,Maternal and child mental and physical health; risk factors of maternal depression and mood disorders; social-contextual antecedents to childhood obesity; and prevention trials for childhood obesity
Indrani Saran,"Behavioral economic theories applied to health decision-making; Evaluating complex health interventions, particularly in resource-constrained settings; and Quantitative research methods"
Ce Shen,"Cross-national research on social development, including governance and corruption, infant/child mortality, maternal mortality, women’s status, and social welfare; Aging and social welfare policy in international and cross-cultural context; Survey Research; Program Evaluation; Comparative education for primary and secondary school students; Various Quantitative Research Methods including structural equation modeling, hierarchical linear modeling, longitudinal data analysis and other multivariate analysis methods."
Gautam N. Yadama,"Poverty and environment dynamics, and interventions to address associated social, economic, environment, and health outcomes"
Dawn Belkin Martinez,"Social justice in clinical practice, The Liberation Health framework for social work practice, Family therapy, Clinical practice with the Latinx community, Racial Justice, Community organizing as a therapeutic intervention, Substance misuse with adolescents and young adults"
Phillipe Copeland,"Theories of Justice, Racial Justice, #BlackLivesMatter, Abolition of Mass Incarceration, Adult Behavioral Health"
Melvin Delgado,"Latino and other marginalized urban population groups, Youth development-youth-led research and macro-practice, Community-capacity enhancement, Non-traditional urban settings"
Jorge Delva,"Addictions and mental health, Behavioral health, Cross-cultural research, survey research, and community-based participatory research"
Yoonsook Ha,"Child and family policy, Early care and education, Equitable access to safety-net programs and its impacts on the well-being of children and families, Family and work balance among low-income working families, Immigrant families, At-risk youth and their access to resources"
Hyeouk Chris Hahm,"HIV/STI infections among Asian Americans, acculturation, health risk behaviors (tobacco use, binge drinking, sexual activity), Health care utilization among Asian American adolescents and sexual minority populations, Health status and health care utilization among people with mental illness"
Daniel Jacobson López,"Violence Against Gay Black and/or Latino Men, Sexual Violence, LGBT Persons of Color, Public Health and Social Work, Effects of COVID-19 on LGBT Populations and People Living with HIV/AIDS (PLWHA)"
Christina Lee,"Health inequities, Social and structural determinants of risky health behaviors, Addiction research and treatment, Mechanisms of behavior change in addictions treatment, Optimizing behavioral treatments for use in the community, Interdisciplinary interventions and community collaboration"
Margaret Lombe,"International Socioeconomic Development (capacity building), Poverty, Social Exclusion/Inclusion, Global Health, Food Security and Low-Resource Households, HIV/AIDS and Youth, Rights-Based Approaches, Cross-Cultural Research, Evaluation Research"
Judith C. Scott,"Childhood and adolescent trauma related to physical maltreatment and racial discrimination experiences, Physical discipline, Child and adolescent mental health, Racially and ethnically diverse children and families, Program evaluation"
David B. Miller,awareness and knowledge of African American males regarding prostate cancer; and effects of chronic stress on adolescents and young adults
Tamara J. Cadet,"Health social work
Health literacy
Shared-decision-making
Social determinants of health
Evidence-based health promotion interventions in the community
Facilitators and barriers to reducing disparities in preventative health behaviors
Advancing health equity
Health care service utilization among vulnerable populations with a focus on oncology and gerontology"
Yoosun Park,"Critical history of social work
Historical and contemporary immigration
Discourse Analysis
Critical theories and methodologies for social work research and education"
Doris F. Chang,Improving well-being of racial and ethnic minorities; Asian American mental health; mindfulness and other contemplative approaches to the development of critical consciousness in clinical and educational settings
Ernest Gonzales,"Gerontology and productive aging: employment, volunteering, and caregiving; health equity; discrimination and prejudice; intergenerational research; cross-national aging research; social policy"
Wen-Jui Han,"Social welfare policy, with an emphasis on children and families; effects of maternal employment and child care on children's cognitive and social and emotional outcomes; impact of welfare reform and child care subsidies on families; precarious parental work, parental work schedules, and child well-being; cognitive and socio-emotional outcomes of children in immigrant families; quantitative research methods; use of large-scale longitudinal data"
Robert L. Hawkins,Poverty; social capital; family and children's policy; social policy analysis; diversity and racism; community-participatory research; qualitative methods; ethnographic research
"Kirk ""Jae"" James","Oppression; anti-oppressive practice; mass incarceration and the intersection of race, class, power, privilege, immigration and critical pedagogy; trauma and healing modalities for impacted people; human rights and social justice frameworks"
Minchao Jin,Social development; poverty; financial social work; asset building; program evaluation; child and maternal nutrition; quantitative methods
Lance Keene,"Intersections of race, gender, and sexuality; sexual minority men; urban LGBTQ youth and young adult development; culturally congruent interventions; and HIV prevention and treatment"
Linda Lausell Bryant,Nonprofit management and leadership for social work professionals; macro social work practice for systems change; child welfare and youth development; college-going among foster care youth; teen pregnancy prevention and development of parenting competencies in teen parents; conflict resolution and mediation; clinical practice with Latino youth and families; diversity and inclusion
Michael A. Lindsey,Child and adolescent mental health services research; adolescent depression; adolescent suicide; school mental health; adolescent risk behaviors
Ifrah Magan,"The intersections of race, gender, religion, and class in refugee resettlement and integration; access to health and mental health services amongst Muslim refugees; national and international immigration policies; community‐centered research models; international social work; and indigenous methodologies."
Darcey Merritt,"Public child welfare system; addressing issues that include child maltreatment, parental fears and concerns, and optimal parenting in low socio-economic and under resourced environments; understanding parental perspectives regarding the etiology of child neglect and the impact on parent and child well being; domestic violence; correlates of specific types of child maltreatment; decision making processes of neglectful parenting behavior"
Kiara L. Moore,Mental health disparities and intervention research
Rohini Pahwa,"Serious mental illness; mental health services; cross-cultural and cross-national research; community integration; stigma; health vulnerabilities in people with serious mental illness; social network analysis; qualitative, quantitative, and mixed methods"
Ramesh Raghavan,Mental health services research with attention to the needs of vulnerable children in the child welfare system
Qingwen Xu,Community behaviors and mechanisms; innovative community practice; global social work; culturally sensitive and locally relevant practice; ethnic minority groups of people; migrants; and older adults
Shantha Balaswamy,"Social policy for older adults
Service delivery systems for older adults and victims of violence
Evaluation & assessment methods"
Nancy Mendoza,"Adult development and aging (gerontology)
Grandparents raising grandchildren
Family caregiving
Death, dying, and grief
Cultural competence
Mixed methods research
Risk and resilience"
